op_name,gpt_speedup_vs_cuda,flaggems_speedup_vs_cuda,speedup_vs_flaggems,meets_threshold,has_code
rand,1.3297204721090023,1.325573,1.0031288145647221,False,True
aten::abs_,1.0040229705064405,1.00268733333333,1.0013320574906142,False,True
neg,1.0055861053682538,1.00481333333333,1.000769070243485,False,True
gt,1.001732627498651,1.002599,0.9991358733637786,False,True
relu,1.013502898949638,1.01545333333333,0.9980792476427356,False,True
ge,0.987427175249555,0.989791333333333,0.9976114580880233,False,True
aten::abs,0.9940155070438491,0.997223,0.9967835750317122,False,True
aten::lerp_,0.9811081549903279,0.985344,0.9957011510602671,False,True
erf,0.9910858895044264,0.995399,0.9956669531558967,False,True
reciprocal,1.0001973890266735,1.00518566666667,0.9950374564566382,False,True
ones,1.0087439251321262,1.01377733333333,0.9950349963096395,False,True
aten::gelu_,0.995893523295114,1.00548333333333,0.9904624873229632,False,True
zeros_like,0.9904176180868353,1.00877966666667,0.9817977610110751,False,True
aten::erf_,0.9855473842296526,1.00445933333333,0.9811720111744917,False,True
triu,0.9742413434359468,0.997625,0.9765606750391649,False,True
aten::lerp,0.9755256973571663,1.00350733333333,0.9721161619385306,False,True
any,0.8226649895028534,0.857870666666667,0.958961556174186,False,True
mv,0.9688958175840144,1.02239766666667,0.9476702159766385,False,True
aten::maximum,0.8847966608091403,1.00460633333333,0.8807396802619633,False,True
isinf,1.7481864483922045,2.043888,0.8553239944616361,False,True
clamp,0.8561091887661121,1.01396866666667,0.8443152307462254,False,True
aten::masked_select,1.2275522765056512,1.574177,0.7798057502464153,False,True
exponential_,0.600086892832044,0.814171,0.7370526496670159,False,True
resolve_neg,0.7133122000950739,1.036356,0.6882887734476124,False,True
vstack,0.7467980647259109,1.097169,0.6806591005815065,False,True
sum,0.7420485832050568,1.09361233333333,0.6785298232174221,False,True
logical_or,0.6390965301812909,0.982935333333333,0.650191837151672,False,True
normal,1.0011819975911693,1.55982133333333,0.6418568435986503,False,True
logical_and,0.6337451468657319,0.999584333333333,0.6340086831416913,False,True
where,0.6331244979984949,1.00231033333333,0.6316651409678143,False,True
logical_xor,0.6253176491249763,0.991963,0.6303840457002694,False,True
ne,0.5964883059091649,0.99122,0.6017718628651206,False,True
lt,0.5958156616934435,0.997432,0.5973496556090475,False,True
cos,0.5610585830769668,0.971215,0.5776873123633457,False,True
cat,0.6429069403581904,1.126369,0.570778262148719,False,True
sin,0.5580186511171821,0.989787666666667,0.563776120788043,False,True
uniform_,0.7134310164491949,1.27137433333333,0.5611494567290017,False,True
nonzero,0.23341919538334602,0.417961333333333,0.558470788486047,False,True
rsqrt,0.5591280497097925,1.00362833333333,0.5571066809690117,False,True
randn,0.4782184499049616,0.905391333333333,0.5281897808148098,False,True
full_like,0.5102229492898767,0.975713333333333,0.5229230060296503,False,True
randn_like,0.4688140449829401,0.906711333333333,0.5170488420602886,False,True
div,0.5152146877386244,1.00521633333333,0.5125411025009471,False,True
full,0.5066224646526981,0.994028,0.5096661911462234,False,True
aten::nan_to_num,0.47523293982484477,1.00122866666667,0.47464975349438304,False,True
prod,0.3556075024768352,0.791212333333333,0.4494463590812353,False,True
isfinite,1.4599845867710128,3.55111,0.41113471189881834,False,True
count_nonzero,1.138703733191004,3.00450666666667,0.3789985709881387,False,True
aten::masked_fill,0.6079054446389776,1.70214666666667,0.3571404606569213,False,True
aten::flip,0.261558487481919,1.095078,0.23884918469909816,False,True
eq,0.15390458528247578,0.993317333333333,0.15493999764003832,False,True
select_scatter,0.1135903225019227,1.24622733333333,0.09114735286546677,False,True
tile,0.10181148102915683,1.130476,0.09006071869651087,False,True
repeat,0.06905121626469231,1.131568,0.06102259542925596,False,True
flip,0.04280880802610522,1.095078,0.039092017213481794,False,True
bitwise_and,0.03562061271858905,0.97993,0.036350160438591586,False,True
hstack,0.02880040774173683,1.11853966666667,0.025748222079208107,False,True
scaled_dot_product_attention,0.012659094258894506,0.9044445,0.013996540704149902,False,True
